Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
005e17028187145444859b20897215100e6557d8,"fixed error in error message (-.-)

--HG--
branch : trunk",['41883c24a5c03f75ff602401003f603b738759fa'],False,"['jinja\\parser.py', 'jinja\\utils.py']"
dc991b1995e0c18f1b200efef8faa0009fd03c42,"Fix docstring typo.

--HG--
branch : trunk",['d4eb18f74dc8d951a9a862c8b81d93dadafeac7e'],False,['jinja\\environment.py']
a39502eb7173de930e20bf7e03f1bbe548844b18,"switch away from svn, fix #283.

--HG--
branch : trunk",['0167c1f02e360866b730cfb56eea4a03f2df77a4'],False,"['jinja\\__init__.py', 'jinja\\loaders.py', 'setup.cfg']"
8efb7ee366250ccc993788aa237b7df53152c58f,"fix #284

--HG--
branch : trunk",['df2e34d1d9c70624a71305a47e999db61e117251'],False,"['jinja\\_speedups.c', 'jinja\\parser.py']"
256c304dae84fb172235fe28c9b36bdbbe487faa,"fixed bug in parser, untagged 1.2 (ready for retagging)

--HG--
branch : trunk",['df020982e607b10822537f3e6c78bc26d9c97e47'],False,"['.hgtags', 'jinja\\parser.py']"
523bf4cdafc8a571efca64f8c5ae061026af3fce,"fixed awkward lexer bug in jinja that was yet untested

--HG--
branch : trunk",['256c304dae84fb172235fe28c9b36bdbbe487faa'],False,"['jdebug.py', 'jinja\\lexer.py', 'jinja\\parser.py', 'tests\\test_lexer.py']"
8edbe4959f1c4b0d0daa5cf94dd534723578a1a6,"fixed one bug with blocks, one to go

--HG--
branch : trunk",['d436e98474eadda52076d5c4316c0797ea45e136'],False,"['jinja2\\compiler.py', 'jinja2\\environment.py', 'jinja2\\filters.py', 'jinja2\\optimizer.py', 'jinja2\\parser.py', 'jinja2\\runtime.py', 'jinja2\\utils.py', 'test.py']"
7a52df8ec3d2987076181171b3227ab56154ab10,"fixed a small bug

--HG--
branch : trunk",['7fb3897bad74128d0e4e233682bcb00c739e13ff'],False,['jinja2\\compiler.py']
449167d991baeac11f6985166c8b21b83737ac87,"fixed a bug in the compiler

--HG--
branch : trunk",['d4c64f76c04206dd4e4bc48242080d3738e35758'],False,"['bench.py', 'jinja2\\compiler.py', 'jinja2\\environment.py', 'jinja2\\utils.py', 'test.py']"
157531b5c5c9422fd9d5d9d699a2c1b966fcfc54,"more docs and fixed bug in parser that assigned lineno for ExprStmt wrong

--HG--
branch : trunk",['3c8b7ade4a8fed525154db87be6f9bbdceac1f6a'],False,"['docs\\conf.py', 'docs\\jinjaext.py', 'docs\\templates.rst', 'jinja2\\filters.py', 'jinja2\\parser.py']"
316157de45e2b1772de81baa6addfb28a969f9c7,"fixed another python2.4 bug

--HG--
branch : trunk",['371cb149968a54e05dfcce3f55f26c917ff62062'],False,"['docs\\templates.rst', 'jinja2\\utils.py']"
1ae4fdfc72d5a88957ccc16a9ad134a8c7e5423d,"added python2.4 workaround for unicode.join bug

--HG--
branch : trunk",['8b085c350aa62e0ea860a3823d1688a0f6d49313'],False,['jinja2\\runtime.py']
c851607cef48bb257b570df9d70f6673174dea63,"reactivated syntax error translations

--HG--
branch : trunk",['115de2e349a010eb66af8d175222414149c4ca7c'],False,['jinja2\\environment.py']
c0725640ebee04fdd7061aad54f73613500714ee,"fixed a bug with filtered loops

--HG--
branch : trunk",['6b44952f776c2122c5bc9545a48db472cf3b8c57'],False,"['docs\\_templates\\genindex.html', 'jinja2\\parser.py']"
b217886ffccc69797ab89ec09f9fdae2967b8bb5,"added author information and fixed small off-by-one bug

--HG--
branch : trunk",['9a1e33c2ef323ed38a9fdd0cbb175d4304e08e1f'],False,"['AUTHORS', 'jinja2\\_speedups.c']"
47a506fb8d6c654bcc1e66ea0eac6e38f0890ea6,"Fixed bug that caused ""for item in seq if expr"" to fail if the loop is not accessing loop

--HG--
branch : trunk",['a5204a49756e56af090d50c4abc8c347494a275c'],False,['jinja2\\compiler.py']
ac61b24fedc24dafdb7e9b304d12898aa2e789da,"Fix two typos.

--HG--
branch : trunk",['fb2e38a806a3e076a8712bd69de1004f0b51e2bb'],False,"['docs\\api.rst', 'docs\\templates.rst']"
27069d73ec6cc9bbf6ce55f6ef48bafa825508d8,"fixed a bug in extension handling

--HG--
branch : trunk",['d1ff858a7afd41a5cc166820f70c96f08b6d2136'],False,"['docs\\cache_extension.py', 'docs\\extensions.rst', 'jinja2-debug.py', 'jinja2\\compiler.py', 'jinja2\\environment.py', 'jinja2\\ext.py']"
1f627ffab40658ba8b7435de1b20fac6e56fce73,"fixed error reporting for filtered statements

--HG--
branch : trunk",['83fbc0fa7e5230d112683e63841550c637bd707c'],False,['jinja2\\compiler.py']
